;DEVICE;FUNCTION;DATA_TYPE;DATA_START;DATA_RANGE;RANGE_S
216;Thumb;gcd;int64_t;2.0;9.223372036854776e+18;2
217;Atmega328p;gcd;int8_t;2.0;125.0;2
218;Atmega328p;gcd;int8_t;2.0;125.0;2
219;Atmega328p;gcd;int16_t;2.0;32764.0;2
220;Atmega328p;gcd;int16_t;2.0;32764.0;2
221;Atmega328p;gcd;int32_t;2.0;2147483638.0;2
222;Atmega328p;gcd;int32_t;2.0;2147483638.0;2
223;Atmega328p;gcd;int64_t;2.0;9.223372036854776e+18;2
224;Atmega328p;gcd;int64_t;2.0;9.223372036854776e+18;2
225;RiscV;gcd;int8_t;2.0;125.0;2
226;RiscV;gcd;int8_t;2.0;125.0;2
227;RiscV;gcd;int16_t;2.0;32764.0;2
228;RiscV;gcd;int16_t;2.0;32764.0;2
229;RiscV;gcd;int32_t;2.0;2147483638.0;2
230;RiscV;gcd;int32_t;2.0;2147483638.0;2
231;RiscV;gcd;int64_t;2.0;9.223372036854776e+18;2
232;RiscV;gcd;int64_t;2.0;9.223372036854776e+18;2
233;Leon3;gcd;int8_t;2.0;125.0;2
234;Leon3;gcd;int8_t;2.0;125.0;2
235;Leon3;gcd;int16_t;2.0;32764.0;2
236;Leon3;gcd;int16_t;2.0;32764.0;2
237;Leon3;gcd;int32_t;2.0;2147483638.0;2
238;Leon3;gcd;int32_t;2.0;2147483638.0;2
239;Leon3;gcd;int64_t;2.0;9.223372036854776e+18;2
240;Leon3;gcd;int64_t;2.0;9.223372036854776e+18;2
241;Arm;gcd;int8_t;2.0;125.0;2
242;Arm;gcd;int8_t;2.0;125.0;2
243;Arm;gcd;int16_t;2.0;32764.0;2
244;Arm;gcd;int16_t;2.0;32764.0;2
245;Arm;gcd;int32_t;2.0;2147483638.0;2
246;Arm;gcd;int32_t;2.0;2147483638.0;2
247;Arm;gcd;int64_t;2.0;9.223372036854776e+18;2
248;Arm;gcd;int64_t;2.0;9.223372036854776e+18;2
249;Thumb;gcd;int8_t;2.0;125.0;2
250;Thumb;gcd;int8_t;2.0;125.0;2
251;Thumb;gcd;int16_t;2.0;32764.0;2
252;Thumb;gcd;int16_t;2.0;32764.0;2
253;Thumb;gcd;int32_t;2.0;2147483638.0;2
254;Thumb;gcd;int32_t;2.0;2147483638.0;2
255;Thumb;gcd;int64_t;2.0;9.223372036854776e+18;2
256;Thumb;gcd;int64_t;2.0;9.223372036854776e+18;2
257;Atmega328p;gcd;int8_t;2.0;125.0;2
258;Atmega328p;gcd;int8_t;2.0;125.0;2
259;Atmega328p;gcd;int16_t;2.0;32764.0;2
260;Atmega328p;gcd;int16_t;2.0;32764.0;2
261;Atmega328p;gcd;int32_t;2.0;2147483638.0;2
262;Atmega328p;gcd;int32_t;2.0;2147483638.0;2
263;Atmega328p;gcd;int64_t;2.0;9.223372036854776e+18;2
264;Atmega328p;gcd;int64_t;2.0;9.223372036854776e+18;2
265;RiscV;gcd;int8_t;2.0;125.0;2
266;RiscV;gcd;int8_t;2.0;125.0;2
267;RiscV;gcd;int16_t;2.0;32764.0;2
268;RiscV;gcd;int16_t;2.0;32764.0;2
269;RiscV;gcd;int32_t;2.0;2147483638.0;2
270;RiscV;gcd;int32_t;2.0;2147483638.0;2
271;RiscV;gcd;int64_t;2.0;9.223372036854776e+18;2
272;RiscV;gcd;int64_t;2.0;9.223372036854776e+18;2
273;Leon3;gcd;int8_t;2.0;125.0;2
274;Leon3;gcd;int8_t;2.0;125.0;2
275;Leon3;gcd;int16_t;2.0;32764.0;2
276;Leon3;gcd;int16_t;2.0;32764.0;2
277;Leon3;gcd;int32_t;2.0;2147483638.0;2
278;Leon3;gcd;int32_t;2.0;2147483638.0;2
279;Leon3;gcd;int64_t;2.0;9.223372036854776e+18;2
280;Leon3;gcd;int64_t;2.0;9.223372036854776e+18;2
281;Arm;gcd;int8_t;2.0;125.0;2
282;Arm;gcd;int8_t;2.0;125.0;2
